Index,Name,Ranking,Overview,School Type,Year Founded,Religious Affiliation,Academic Calendar,Setting,2019 Endowment,School Website
154,Saint Vincent College,#140,"Saint Vincent College is a private institution that was founded in 1846. It has a total undergraduate enrollment of 1,560, its setting is suburban, and the campus size is 200 acres. It utilizes a semester-based academic calendar. Saint Vincent College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #140. Its tuition and fees are $38,020.","Private, Coed",1846,Roman Catholic,Semester,Suburban,$113.4 million +,
155,Salem College,#140,"Salem College is a private institution that was founded in 1772. It has a total undergraduate enrollment of 612, its setting is city, and the campus size is 57 acres. It utilizes a 4-1-4-based academic calendar. Salem College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #140. Its tuition and fees are $31,016.","Private, Women's college",1772,Moravian Church,4-1-4,City,$60.7 million,
156,University of Minnesota Morris,#140,"University of Minnesota Morris is a public institution that was founded in 1959. It has a total undergraduate enrollment of 1,499, its setting is rural, and the campus size is 130 acres. It utilizes a semester-based academic calendar. University of Minnesota Morris's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #140. Its in-state tuition and fees are $13,578; out-of-state tuition and fees are $15,632.","Public, Coed",1959,None,Semester,Rural,$16.8 million,
157,University of North Carolina Asheville,#140,"University of North Carolina Asheville is a public institution that was founded in 1927. It has a total undergraduate enrollment of 3,587, its setting is city, and the campus size is 365 acres. It utilizes a semester-based academic calendar. University of North Carolina Asheville's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #140. Its in-state tuition and fees are $7,244; out-of-state tuition and fees are $24,592.","Public, Coed",1927,None,Semester,City,$53.5 million +,
158,Hartwick College,#149,"Hartwick College is a private institution that was founded in 1797. It has a total undergraduate enrollment of 1,193, its setting is rural, and the campus size is 475 acres. It utilizes a 4-1-4-based academic calendar. Hartwick College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #149. Its tuition and fees are $48,364.","Private, Coed",1797,None,4-1-4,Rural,$76.8 million,
159,Massachusetts College of Liberal Arts,#149,"Massachusetts College of Liberal Arts is a public institution that was founded in 1894. It has a total undergraduate enrollment of 1,345, its setting is rural, and the campus size is 105 acres. It utilizes a semester-based academic calendar. Massachusetts College of Liberal Arts's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #149. Its in-state tuition and fees are $11,105; out-of-state tuition and fees are $20,050.","Public, Coed",1894,None,Semester,Rural,$13.5 million +,
160,Young Harris College,#171-#221,"Young Harris College is a private institution that was founded in 1886. It has a total undergraduate enrollment of 1,403, its setting is rural, and the campus size is 800 acres. It utilizes a semester-based academic calendar. Young Harris College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $29,067.","Private, Coed",1886,United Methodist,Semester,Rural,N/A,
161,American Jewish University,Unranked,"American Jewish University is a private institution that was founded in 1947. It has a Urban setting, and the campus size is 28 acres. It utilizes a semester-based academic calendar.  Its tuition and fees are $32,404.","Private, Coed",1947,None,Semester,Urban,N/A,
162,Thomas More College of Liberal Arts,Unranked,"Thomas More College of Liberal Arts is a private institution that was founded in 1978. It has a Suburban setting, and the campus size is 14 acres. It utilizes a semester-based academic calendar.  Its tuition and fees are $21,600.","Private, Coed",1978,Roman Catholic,Semester,Suburban,N/A,
163,Occidental College,#40,"Occidental College is a private institution that was founded in 1887. It has a total undergraduate enrollment of 2,081, its setting is urban, and the campus size is 120 acres. It utilizes a semester-based academic calendar. Occidental College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #40. Its tuition and fees are $56,576.","Private, Coed",1887,None,Semester,Urban,$448.1 million,
164,Thomas Aquinas College,#40,"Thomas Aquinas College is a private institution that was founded in 1971. It has a total undergraduate enrollment of 439, its setting is rural, and the campus size is 131 acres. It utilizes a semester-based academic calendar. Thomas Aquinas College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #40. Its tuition and fees are $26,000.","Private, Coed",1971,Roman Catholic,Semester,Rural,$25.3 million,
165,Franklin & Marshall College,#43,"Franklin & Marshall College is a private institution that was founded in 1787. It has a total undergraduate enrollment of 2,315, its setting is city, and the campus size is 200 acres. It utilizes a semester-based academic calendar. Franklin & Marshall College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #43. Its tuition and fees are $61,062.","Private, Coed",1787,None,Semester,City,$388.0 million,
166,Denison University,#44,"Denison University is a private institution that was founded in 1831. It has a total undergraduate enrollment of 2,293, its setting is suburban, and the campus size is 850 acres. It utilizes a semester-based academic calendar. Denison University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #44. Its tuition and fees are $56,680.","Private, Coed",1831,None,Semester,Suburban,$887.9 million,
167,Trinity College,#44,"Trinity College is a private institution that was founded in 1823. It has a total undergraduate enrollment of 2,195, its setting is urban, and the campus size is 100 acres. It utilizes a semester-based academic calendar. Trinity College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #44. Its tuition and fees are $58,620.","Private, Coed",1823,Undenominational,Semester,Urban,$640.8 million +,
168,Union College (NY),#44,"Union College (NY) is a private institution that was founded in 1795. It has a total undergraduate enrollment of 2,189, its setting is city, and the campus size is 100 acres. It utilizes a trimester-based academic calendar. Union College (NY)'s ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #44. Its tuition and fees are $59,427.","Private, Coed",1795,None,Trimester,City,$470.3 million,
169,DePauw University,#47,"DePauw University is a private institution that was founded in 1837. It has a total undergraduate enrollment of 1,972, its setting is rural, and the campus size is 655 acres. It utilizes a 4-1-4-based academic calendar. DePauw University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #47. Its tuition and fees are $53,684.","Private, Coed",1837,None,4-1-4,Rural,$730.3 million +,
170,Dickinson College,#47,"Dickinson College is a private institution that was founded in 1783. It has a total undergraduate enrollment of 2,133, its setting is suburban, and the campus size is 144 acres. It utilizes a semester-based academic calendar. Dickinson College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #47. Its tuition and fees are $56,498.","Private, Coed",1783,None,Semester,Suburban,$455.4 million +,
171,The University of the South,#47,"The University of the South is a private institution that was founded in 1857. It has a total undergraduate enrollment of 1,695, its setting is rural, and the campus size is 13,000 acres. It utilizes a semester-based academic calendar. The University of the South's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #47. Its tuition and fees are $47,980.","Private, Coed",1857,Protestant Episcopal,Semester,Rural,$408.8 million,
172,Whitman College,#47,"Whitman College is a private institution that was founded in 1883. It has a Rural setting, and the campus size is 117 acres. It utilizes a semester-based academic calendar. Whitman College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #47. Its tuition and fees are $53,820.","Private, Coed",1883,None,Semester,Rural,N/A,
173,Connecticut College,#51,"Connecticut College is a private institution that was founded in 1911. It has a total undergraduate enrollment of 1,861, its setting is city, and the campus size is 750 acres. It utilizes a semester-based academic calendar. Connecticut College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #51. Its tuition and fees are $59,025.","Private, Coed",1911,None,Semester,City,$324.4 million +,
174,Centre College,#52,"Centre College is a private institution that was founded in 1819. It has a total undergraduate enrollment of 1,411, its setting is city, and the campus size is 106 acres. It utilizes a 4-1-4-based academic calendar. Centre College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #52. Its tuition and fees are $44,300.","Private, Coed",1819,Presbyterian,4-1-4,City,$330.6 million,
175,Furman University,#52,"Furman University is a private institution that was founded in 1826. It has a total undergraduate enrollment of 2,687, its setting is suburban, and the campus size is 800 acres. It utilizes a semester-based academic calendar. Furman University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #52. Its tuition and fees are $52,092.","Private, Coed",1826,None,Semester,Suburban,$694.3 million,
176,Bard College,#54,"Bard College is a private institution that was founded in 1860. It has a total undergraduate enrollment of 1,954, its setting is rural, and the campus size is 1,000 acres. It utilizes a semester-based academic calendar. Bard College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #54. Its tuition and fees are $56,036.","Private, Coed",1860,None,Semester,Rural,N/A,
177,Gettysburg College,#54,"Gettysburg College is a private institution that was founded in 1832. It has a total undergraduate enrollment of 2,372, its setting is suburban, and the campus size is 230 acres. It utilizes a semester-based academic calendar. Gettysburg College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #54. Its tuition and fees are $58,505.","Private, Coed",1832,None,Semester,Suburban,$324.2 million,
178,Hillsdale College,#54,"Hillsdale College is a private institution that was founded in 1844. It has a total undergraduate enrollment of 1,468, its setting is rural, and the campus size is 400 acres. It utilizes a semester-based academic calendar. Hillsdale College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #54. Its tuition and fees are $29,482.","Private, Coed",1844,Undenominational,Semester,Rural,$710.3 million,
179,Rhodes College,#54,"Rhodes College is a private institution that was founded in 1848. It has a total undergraduate enrollment of 1,973, its setting is urban, and the campus size is 123 acres. It utilizes a semester-based academic calendar. Rhodes College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #54. Its tuition and fees are $50,910.","Private, Coed",1848,Presbyterian,Semester,Urban,$352.2 million +,
180,Spelman College,#54,"Spelman College is a private institution that was founded in 1881. It has a total undergraduate enrollment of 2,120, its setting is urban, and the campus size is 39 acres. It utilizes a semester-based academic calendar. Spelman College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #54. Its tuition and fees are $29,972.","Private, Women's college",1881,None,Semester,Urban,$390.5 million,
181,St. Lawrence University,#54,"St. Lawrence University is a private institution that was founded in 1856. It has a total undergraduate enrollment of 2,392, its setting is rural, and the campus size is 1,100 acres. It utilizes a semester-based academic calendar. St. Lawrence University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #54. Its tuition and fees are $58,750.","Private, Coed",1856,None,Semester,Rural,$315.7 million,
182,Wabash College,#54,"Wabash College is a private institution that was founded in 1832. It has a total undergraduate enrollment of 867, its setting is city, and the campus size is 94 acres. It utilizes a semester-based academic calendar. Wabash College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #54. Its tuition and fees are $45,850.","Private, Men's college",1832,None,Semester,City,$344.3 million,
183,Providence Christian College,#171-#221,"Providence Christian College is a private institution that was founded in 2003. It has a City setting, and the campus size is 20 acres. It utilizes a semester-based academic calendar. Providence Christian College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $31,846.","Private, Coed",2003,None,Semester,City,N/A,
184,Rust College,#171-#221,"Rust College is a private institution that was founded in 1866. It has a Rural setting, and the campus size is 126 acres. It utilizes a semester-based academic calendar. Rust College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $9,900.","Private, Coed",1866,United Methodist,Semester,Rural,N/A,
185,Shepherd University,#171-#221,"Shepherd University is a public institution that was founded in 1871. It has a total undergraduate enrollment of 3,200, its setting is rural, and the campus size is 325 acres. It utilizes a semester-based academic calendar. Shepherd University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its in-state tuition and fees are $7,784; out-of-state tuition and fees are $18,224.","Public, Coed",1871,None,Semester,Rural,$21.4 million,
186,Southern Virginia University,#171-#221,"Southern Virginia University is a private institution.   Southern Virginia University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $17,290.",Private,N/A,None,N/A,N/A,N/A,N/A
187,Spring Hill College,#171-#221,"Spring Hill College is a private institution that was founded in 1830. It has a total undergraduate enrollment of 1,187, its setting is suburban, and the campus size is 450 acres. It utilizes a semester-based academic calendar. Spring Hill College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $41,868.","Private, Coed",1830,None,Semester,Suburban,$18.2 million,
188,Sterling College (VT),#171-#221,"Sterling College (VT) is a private institution that was founded in 1958.   Sterling College (VT)'s ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $39,020.",Private,1958,None,N/A,N/A,N/A,
189,Stillman College,#171-#221,"Stillman College is a private institution that was founded in 1876. It has a total undergraduate enrollment of 861, its setting is city, and the campus size is 105 acres. It utilizes a semester-based academic calendar. Stillman College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $11,292.","Private, Coed",1876,Presbyterian Church (USA),Semester,City,$17.8 million +,
190,Talladega College,#171-#221,"Talladega College is a private institution that was founded in 1867. It has a total undergraduate enrollment of 1,230, its setting is urban, and the campus size is 50 acres. It utilizes a semester-based academic calendar. Talladega College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $13,571.","Private, Coed",1867,United Church of Christ,Semester,Urban,$2.6 million,
191,Tougaloo College,#171-#221,"Tougaloo College is a private institution that was founded in 1869. It has a Suburban setting, and the campus size is 100 acres. It utilizes a semester-based academic calendar. Tougaloo College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $11,398.","Private, Coed",1869,United Church of Christ,Semester,Suburban,N/A,
192,University of Maine--Machias,#171-#221,"University of Maine—Machias is a public institution that was founded in 1909. It has a total undergraduate enrollment of 659, its setting is rural, and the campus size is 43 acres. It utilizes a semester-based academic calendar. University of Maine—Machias's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its in-state tuition and fees are $9,198; out-of-state tuition and fees are $16,458.","Public, Coed",1909,None,Semester,Rural,$2.5 million +,
193,Birmingham-Southern College,#130,"Birmingham-Southern College is a private institution that was founded in 1856. It has a total undergraduate enrollment of 1,209, its setting is urban, and the campus size is 192 acres. It utilizes a 4-1-4-based academic calendar. Birmingham-Southern College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #130. Its tuition and fees are $18,900.","Private, Coed",1856,United Methodist,4-1-4,Urban,N/A,
194,Coe College,#130,"Coe College is a private institution that was founded in 1851. It has a total undergraduate enrollment of 1,428, its setting is city, and the campus size is 65 acres. It utilizes a semester-based academic calendar. Coe College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #130. Its tuition and fees are $47,220.","Private, Coed",1851,None,Semester,City,$96.8 million,
195,Concordia College--Moorhead,#130,"Concordia College—Moorhead is a private institution that was founded in 1891. It has a total undergraduate enrollment of 2,010, its setting is suburban, and the campus size is 113 acres. It utilizes a semester-based academic calendar. Concordia College—Moorhead's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #130. Its tuition and fees are $43,266.","Private, Coed",1891,Evangelical Lutheran Church,Semester,Suburban,$135.9 million +,
196,Roanoke College,#130,"Roanoke College is a private institution that was founded in 1842. It has a total undergraduate enrollment of 2,005, its setting is suburban, and the campus size is 80 acres. It utilizes a semester-based academic calendar. Roanoke College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #130. Its tuition and fees are $46,600.","Private, Coed",1842,Evangelical Lutheran Church,Semester,Suburban,$155.8 million +,
197,St. Norbert College,#130,"St. Norbert College is a private institution that was founded in 1898. It has a total undergraduate enrollment of 2,000, its setting is suburban, and the campus size is 113 acres. It utilizes a semester-based academic calendar. St. Norbert College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #130. Its tuition and fees are $40,885.","Private, Coed",1898,Roman Catholic,Semester,Suburban,$144.4 million +,
198,Eckerd College,#136,"Eckerd College is a private institution that was founded in 1958. It has a total undergraduate enrollment of 2,007, and the campus size is 188 acres. It utilizes a 4-1-4-based academic calendar. Eckerd College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #136. Its tuition and fees are $47,704.","Private, Coed",1958,None,4-1-4,N/A,$60.6 million,
199,Franklin College,#136,"Franklin College is a private institution that was founded in 1834. It has a total undergraduate enrollment of 922, its setting is suburban, and the campus size is 207 acres. It utilizes a 4-1-4-based academic calendar. Franklin College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #136. Its tuition and fees are $33,954.","Private, Coed",1834,None,4-1-4,Suburban,$87.4 million,
200,Meredith College,#136,"Meredith College is a private institution that was founded in 1891. It has a total undergraduate enrollment of 1,528, its setting is urban, and the campus size is 225 acres. It utilizes a semester-based academic calendar. Meredith College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #136. Its tuition and fees are $39,952.","Private, Women's college",1891,None,Semester,Urban,$115.7 million +,
201,Wells College,#136,"Wells College is a private institution that was founded in 1868. It has a total undergraduate enrollment of 419, its setting is rural, and the campus size is 365 acres. It utilizes a semester-based academic calendar. Wells College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #136. Its tuition and fees are $31,800.","Private, Coed",1868,None,Semester,Rural,N/A,
202,Central College,#140,"Central College is a private institution that was founded in 1853. It has a total undergraduate enrollment of 1,163, its setting is rural, and the campus size is 200 acres. It utilizes a semester-based academic calendar. Central College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #140. Its tuition and fees are $18,600.","Private, Coed",1853,Reformed Church in America,Semester,Rural,N/A,
203,Westminster College (MO),#155,"Westminster College (MO) is a private institution that was founded in 1851. It has a Rural setting, and the campus size is 86 acres. It utilizes a semester-based academic calendar. Westminster College (MO)'s ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #155. Its tuition and fees are $26,490.","Private, Coed",1851,Presbyterian,Semester,Rural,N/A,
204,Bryn Athyn College of the New Church,#162,"Bryn Athyn College of the New Church is a private institution that was founded in 1877. It has a Suburban setting, and the campus size is 130 acres. It utilizes a trimester-based academic calendar. Bryn Athyn College of the New Church's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #162. Its tuition and fees are $25,449.","Private, Coed",1877,Other,Trimester,Suburban,N/A,
205,Sweet Briar College,#162,"Sweet Briar College is a private institution that was founded in 1901. It has a total undergraduate enrollment of 351, its setting is suburban, and the campus size is 3,250 acres. It utilizes a semester-based academic calendar. Sweet Briar College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #162. Its tuition and fees are $22,700.","Private, Women's college",1901,None,Semester,Suburban,$70.5 million,
206,Warren Wilson College,#162,"Warren Wilson College is a private institution that was founded in 1894. It has a total undergraduate enrollment of 706, its setting is suburban, and the campus size is 1,135 acres. It utilizes a semester-based academic calendar. Warren Wilson College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #162. Its tuition and fees are $38,350.","Private, Coed",1894,None,Semester,Suburban,$51.7 million +,
207,Wartburg College,#162,"Wartburg College is a private institution that was founded in 1852. It has a total undergraduate enrollment of 1,501, its setting is rural, and the campus size is 170 acres. It utilizes a 4-4-1-based academic calendar. Wartburg College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #162. Its tuition and fees are $45,680.","Private, Coed",1852,Evangelical Lutheran Church,4-4-1,Rural,$76.5 million,
208,Doane University,#166,"Doane University is a private institution that was founded in 1872. It has a total undergraduate enrollment of 1,357, its setting is rural, and the campus size is 300 acres. It utilizes a semester-based academic calendar. Doane University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #166. Its tuition and fees are $37,000.","Private, Coed",1872,None,Semester,Rural,$114.6 million,
209,Lyon College,#166,"Lyon College is a private institution that was founded in 1872. It has a total undergraduate enrollment of 662, its setting is city, and the campus size is 136 acres. It utilizes a semester-based academic calendar. Lyon College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #166. Its tuition and fees are $29,415.","Private, Coed",1872,Presbyterian Church (USA),Semester,City,N/A,
210,Oglethorpe University,#166,"Oglethorpe University is a private institution that was founded in 1835. It has a total undergraduate enrollment of 1,385, its setting is suburban, and the campus size is 100 acres. It utilizes a semester-based academic calendar. Oglethorpe University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #166. Its tuition and fees are $41,160.","Private, Coed",1835,None,Semester,Suburban,$33.6 million +,
211,University of Puerto Rico--Cayey,#166,"University of Puerto Rico—Cayey is a public institution that was founded in 1967. It has a Suburban setting, and the campus size is 145 acres. It utilizes a semester-based academic calendar. University of Puerto Rico—Cayey's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #166. Its in-state tuition and fees are $4,208; out-of-state tuition and fees are $6,192.","Public, Coed",1967,None,Semester,Suburban,N/A,
212,University of Virginia--Wise,#166,"University of Virginia—Wise is a public institution that was founded in 1954. It has a total undergraduate enrollment of 2,002, its setting is rural, and the campus size is 396 acres. It utilizes a semester-based academic calendar. University of Virginia—Wise's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #166. Its in-state tuition and fees are $10,842; out-of-state tuition and fees are $29,346.","Public, Coed",1954,None,Semester,Rural,$104.3 million +,
213,Whittier College,#102,"Whittier College is a private institution that was founded in 1887. It has a total undergraduate enrollment of 1,776, its setting is suburban, and the campus size is 75 acres. It utilizes a 4-1-4-based academic calendar. Whittier College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #102. Its tuition and fees are $49,314.","Private, Coed",1887,None,4-1-4,Suburban,$119.3 million +,N/A
214,Hope College,#112,"Hope College is a private institution that was founded in 1866. It has a total undergraduate enrollment of 3,056, its setting is city, and the campus size is 120 acres. It utilizes a semester-based academic calendar. Hope College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #112. Its tuition and fees are $36,650.","Private, Coed",1866,Reformed Church in America,Semester,City,$232.2 million +,
215,Drew University,#113,"Drew University is a private institution that was founded in 1867. It has a total undergraduate enrollment of 1,712, its setting is suburban, and the campus size is 186 acres. It utilizes a semester-based academic calendar. Drew University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #113. Its tuition and fees are $42,952.","Private, Coed",1867,United Methodist,Semester,Suburban,$94.8 million,
216,Elizabethtown College,#113,"Elizabethtown College is a private institution that was founded in 1899. It has a total undergraduate enrollment of 1,729, its setting is suburban, and the campus size is 203 acres. It utilizes a semester-based academic calendar. Elizabethtown College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #113. Its tuition and fees are $32,960.","Private, Coed",1899,None,Semester,Suburban,$83.9 million,
217,Grove City College,#113,"Grove City College is a private institution that was founded in 1876. It has a Rural setting, and the campus size is 180 acres. It utilizes a semester-based academic calendar. Grove City College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #113. Its tuition and fees are $18,930.","Private, Coed",1876,Undenominational,Semester,Rural,$140.9 million,
218,Millsaps College,#113,"Millsaps College is a private institution that was founded in 1890. It has a total undergraduate enrollment of 780, its setting is city, and the campus size is 100 acres. It utilizes a semester-based academic calendar. Millsaps College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #113. Its tuition and fees are $41,314.","Private, Coed",1890,United Methodist,Semester,City,$90.5 million,
219,Stonehill College,#113,"Stonehill College is a private institution that was founded in 1948. It has a total undergraduate enrollment of 2,509, its setting is suburban, and the campus size is 384 acres. It utilizes a semester-based academic calendar. Stonehill College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #113. Its tuition and fees are $46,642.","Private, Coed",1948,Roman Catholic,Semester,Suburban,$217.2 million +,
220,Susquehanna University,#113,"Susquehanna University is a private institution that was founded in 1858. It has a total undergraduate enrollment of 2,312, its setting is rural, and the campus size is 325 acres. It utilizes a semester-based academic calendar. Susquehanna University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #113. Its tuition and fees are $51,140.","Private, Coed",1858,Evangelical Lutheran Church,Semester,Rural,$175.7 million,
221,Westmont College,#113,"Westmont College is a private institution that was founded in 1937. It has a total undergraduate enrollment of 1,325, its setting is suburban, and the campus size is 111 acres. It utilizes a semester-based academic calendar. Westmont College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #113. Its tuition and fees are $48,180.","Private, Coed",1937,Undenominational,Semester,Suburban,$79.6 million +,
222,College of Idaho,#120,"College of Idaho is a private institution that was founded in 1891. It has a total undergraduate enrollment of 1,077, its setting is suburban, and the campus size is 55 acres. It utilizes a 4-1-4-based academic calendar. College of Idaho's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #120. Its tuition and fees are $32,855.","Private, Coed",1891,None,4-1-4,Suburban,N/A,
